snapshot,percentile,ix,iy,iz,omega_mag,R_max,sigma_abs,sigma_signed,C_far
t=0,50.0,60,139,13,22.849329152750034,64,18.195297266389417,0.3557753335894712,0.019553147628242597
t=0,50.0,60,139,13,22.849329152750034,80,20.09433865739508,0.5319338301002696,0.026471825680339487
t=0,50.0,60,139,13,22.849329152750034,96,21.679637103038857,0.7462223259003289,0.03442042513690094
t=0,50.0,60,139,13,22.849329152750034,112,23.10784777885572,0.7994146794844265,0.0345949431178057
t=0,50.0,152,253,157,15.665142326936014,32,9.988061002691566,0.2936330815273681,0.02939840690282532
t=0,50.0,152,253,157,15.665142326936014,48,13.471190565288488,0.4650793403635028,0.034523996829343574
t=0,50.0,152,253,157,15.665142326936014,64,16.35125430090359,1.18830488713654,0.07267362278567661
t=0,50.0,152,253,157,15.665142326936014,80,18.386010133811514,1.3278294204823777,0.07221955230191707
t=0,50.0,152,253,157,15.665142326936014,96,19.906106514460827,1.3338325817023065,0.06700620137510775
t=0,50.0,152,253,157,15.665142326936014,112,21.19665467608978,1.427787336685374,0.06735908842709716
t=0,50.0,143,45,151,25.750855567485466,32,14.970845064135668,1.5495412515590339,0.10350392679376083
t=0,50.0,143,45,151,25.750855567485466,48,18.30733646062215,1.428444801865656,0.07802581248988047
t=0,50.0,143,45,151,25.750855567485466,64,20.73925287141667,1.5337727219879824,0.07395506152017
t=0,50.0,143,45,151,25.750855567485466,80,22.76484522391771,1.874703374607979,0.08235080696434238
t=0,50.0,143,45,151,25.750855567485466,96,24.379285659222262,2.1716563199711887,0.08907793076167056
t=0,50.0,143,45,151,25.750855567485466,112,25.768958267788783,2.3601429823634135,0.09158860664203076
t=0,50.0,234,219,191,36.58004455664624,32,16.651097306550533,5.841436565440501,0.350813910813102
t=0,50.0,234,219,191,36.58004455664624,48,20.478728261609987,5.457735436439444,0.2665075373196231
t=0,50.0,234,219,191,36.58004455664624,64,23.078963850672537,5.4753997275175434,0.23724634099454975
t=0,50.0,234,219,191,36.58004455664624,80,25.103562156684717,5.435114717708097,0.21650770849908263
t=0,50.0,234,219,191,36.58004455664624,96,26.697650844548697,5.450423817609148,0.20415368563118547
t=0,50.0,234,219,191,36.58004455664624,112,27.98957136245071,5.47686589400219,0.1956752328601093
t=0,50.0,140,171,139,24.03016350903541,32,11.393271610726472,0.6345681295337837,0.055696743763780206
t=0,50.0,140,171,139,24.03016350903541,48,14.820697197241786,0.39939551790584443,0.026948497266388666
t=0,50.0,140,171,139,24.03016350903541,64,17.845260737775092,0.6941099564719103,0.038896038935570657
t=0,50.0,140,171,139,24.03016350903541,80,20.169422251278178,1.026681341541194,0.050902863193125474
t=0,50.0,140,171,139,24.03016350903541,96,21.844183743027315,0.9994891957378407,0.04575539225890638
t=0,50.0,140,171,139,24.03016350903541,112,23.181247636122215,0.9054663801969964,0.03906029539091986
t=0,50.0,201,219,70,32.713650976856876,32,9.810485414153412,0.6996634221243848,0.07131792083549637
t=0,50.0,201,219,70,32.713650976856876,48,12.488696802757419,0.42834196740592556,0.03429837189348296
t=0,50.0,201,219,70,32.713650976856876,64,14.704202641962414,0.036271674160266186,0.00246675559657721
t=0,50.0,201,219,70,32.713650976856876,80,16.605539243843065,0.1562094568695571,0.009407069205986539
t=0,50.0,201,219,70,32.713650976856876,96,18.33744229194617,0.5966271485262796,0.032536006877486895
t=0,50.0,201,219,70,32.713650976856876,112,19.797318821254034,0.6809564725696937,0.03439639876075701
t=0,50.0,198,123,55,27.975176082515397,32,10.230963326230212,0.5913662367386003,0.057801618272098745
t=0,50.0,198,123,55,27.975176082515397,48,13.339791843093389,1.1501927658099922,0.08622269217832651
t=0,50.0,198,123,55,27.975176082515397,64,16.13339289494972,2.312504782702104,0.14333654413300714
t=0,50.0,198,123,55,27.975176082515397,80,18.224925378182387,2.872841767619469,0.15763256682842913
t=0,50.0,198,123,55,27.975176082515397,96,19.969936660317728,3.279855646169294,0.16423966194578357
t=0,50.0,198,123,55,27.975176082515397,112,21.48803730738128,3.3355209952338405,0.15522688031112397
t=0,50.0,98,109,206,26.678856505845985,32,9.9096154705151,3.162114130260084,0.31909554307819354
t=0,50.0,98,109,206,26.678856505845985,48,13.459023974610343,4.010982244994636,0.298014347293022
t=0,50.0,98,109,206,26.678856505845985,64,16.113330099964468,4.336753224847629,0.26914071752661434
t=0,50.0,98,109,206,26.678856505845985,80,18.072332655657483,4.489911991168777,0.24844119886002788
t=0,50.0,98,109,206,26.678856505845985,96,19.607301602720668,4.553049169442501,0.23221192093106424
t=0,50.0,98,109,206,26.678856505845985,112,20.91783306345446,4.615994152541267,0.22067267381561953
t=0,50.0,200,42,46,18.97553673450958,32,19.836356159815043,2.379799445471274,0.11997160296467793
t=0,50.0,200,42,46,18.97553673450958,48,23.28364982688482,2.495888860184749,0.10719491483258922
t=0,50.0,200,42,46,18.97553673450958,64,25.570225544718355,2.636349031086697,0.1031022986667103
t=0,50.0,200,42,46,18.97553673450958,80,27.50311245724501,2.604610206435331,0.09470237997551478
t=0,50.0,200,42,46,18.97553673450958,96,29.14217345058374,2.613734774473163,0.08968908166390753
t=0,50.0,200,42,46,18.97553673450958,112,30.46011021269315,2.5955445027965305,0.08521126432808937
t=0,50.0,179,73,124,19.550067951969446,32,12.060038428169367,1.608185461026474,0.1333482866248699
t=0,50.0,179,73,124,19.550067951969446,48,15.598153118288586,1.5027643575665186,0.09634245453101441
t=0,50.0,179,73,124,19.550067951969446,64,18.126645438584017,1.578573412350076,0.0870857996146356
t=0,50.0,179,73,124,19.550067951969446,80,19.913026217917942,1.5239201659101693,0.07652880829027034
t=0,50.0,179,73,124,19.550067951969446,96,21.457538727812143,1.3227866724162995,0.061646710239966734
t=0,50.0,179,73,124,19.550067951969446,112,22.84409687977624,1.0555904974759944,0.04620845827398426
t=0,50.0,201,22,234,22.682703725848615,32,12.209314285818557,2.8763602691019132,0.23558737221163042
t=0,50.0,201,22,234,22.682703725848615,48,15.94473737901406,3.7204212534654353,0.23333223778035578
t=0,50.0,201,22,234,22.682703725848615,64,18.631469167346303,4.148882505115488,0.2226814465274086
t=0,50.0,201,22,234,22.682703725848615,80,20.648564271928812,4.392692847866402,0.21273599413583222
t=0,50.0,201,22,234,22.682703725848615,96,22.173682257318646,4.5223742224638945,0.2039523327692332
t=0,50.0,201,22,234,22.682703725848615,112,23.47803403928242,4.549880913879918,0.19379309640097023
t=0,50.0,58,241,168,15.522787654922594,32,9.782240392142462,3.372281071523029,0.34473504395085175
